batteryLevel,localTime,modelName,onWrist,hasRecentHeartRate,prediction,predictionScore,timestamp,deviceID,userID,version
74,7/22/25 17:26,Yeti,TRUE,,0,0.02291482,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:27,Yeti,TRUE,,0,0.093282044,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:28,Yeti,TRUE,,1,0.5204163,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:29,Yeti,TRUE,,1,0.5717485,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:30,Yeti,TRUE,,0,0.15495814,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:31,Yeti,TRUE,,0,0.11777661,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:32,Yeti,TRUE,,0,0.23641014,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:33,Yeti,TRUE,,0,0.04562297,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:34,Yeti,TRUE,,1,0.95969987,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
73,7/22/25 17:35,Yeti,FALSE,,0,0.046960145,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:36,Yeti,TRUE,,0,0.07670941,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:37,Yeti,TRUE,,0,0.093387,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:38,Yeti,TRUE,,0,0.041408613,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:39,Yeti,TRUE,,1,0.51662445,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:40,Yeti,TRUE,,0,0.3408598,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:41,Yeti,TRUE,,0,0.3905297,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:42,Yeti,TRUE,,1,0.9573014,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:43,Yeti,TRUE,,1,0.95350313,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:44,Yeti,TRUE,,1,0.99135053,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:45,Yeti,TRUE,,1,0.9546457,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
72,7/22/25 17:46,Yeti,TRUE,,1,0.9135086,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:47,Yeti,TRUE,,1,0.9584841,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:48,Yeti,TRUE,,1,0.9182817,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:49,Yeti,TRUE,,1,0.9459297,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:50,Yeti,TRUE,,1,0.87842524,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:51,Yeti,TRUE,,1,0.929424,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:52,Yeti,TRUE,,1,0.74988186,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:53,Yeti,TRUE,,1,0.9885445,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:54,Yeti,TRUE,,1,0.8706198,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:55,Yeti,TRUE,,0,0.091060214,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:56,Yeti,TRUE,,1,0.98289454,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
71,7/22/25 17:57,Yeti,TRUE,,1,0.9441629,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 17:58,Yeti,TRUE,,1,0.9720551,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 17:59,Yeti,TRUE,,1,0.9840844,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:00,Yeti,TRUE,,1,0.9741023,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:01,Yeti,TRUE,,1,0.97660565,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:02,Yeti,TRUE,,1,0.99575764,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:03,Yeti,TRUE,,1,0.9906775,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:04,Yeti,TRUE,,1,0.95159405,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:05,Yeti,TRUE,,1,0.99385506,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:06,Yeti,TRUE,,1,0.96027577,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:07,Yeti,TRUE,,1,0.95270634,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:08,Yeti,TRUE,,1,0.9849798,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:09,Yeti,TRUE,,1,0.81679326,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
70,7/22/25 18:10,Yeti,TRUE,,1,0.9771639,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
